concord_class,baseline,project,r1,r2,r3,label,split
org.apache.reef.tang.implementation.C,"apache_incubator-reef_apache_incubator-reef_org.apache.reef.tang.implementation1749C.code
",incubator-reef,incubator-reef_org.apache.reef.tang.implementation.C_R1.json,incubator-reef_org.apache.reef.tang.implementation.C_R2.json,incubator-reef_org.apache.reef.tang.implementation.C_R3.json,0,train
org.fenixedu.academic.ui.struts.action.resourceAllocationManager.RoomLessonsBean,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.ui.struts.action.resourceAllocationManager3715RoomLessonsBean.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.ui.struts.action.resourceAllocationManager.RoomLessonsBean_R1.json,fenixedu-academic_org.fenixedu.academic.ui.struts.action.resourceAllocationManager.RoomLessonsBean_R2.json,fenixedu-academic_org.fenixedu.academic.ui.struts.action.resourceAllocationManager.RoomLessonsBean_R3.json,0,train
org.ripple.power.ui.projector.core.graphics.LTouch,"cping_RipplePower_cping_RipplePower_org.ripple.power.ui.projector.core.graphics3367LTouch.code
",RipplePower,RipplePower_org.ripple.power.ui.projector.core.graphics.LTouch_R1.json,RipplePower_org.ripple.power.ui.projector.core.graphics.LTouch_R2.json,RipplePower_org.ripple.power.ui.projector.core.graphics.LTouch_R3.json,0,train
org.fenixedu.academic.ui.struts.action.administrativeOffice.studentEnrolment.RegistrationDataByYearBean,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.ui.struts.action.administrativeOffice.studentEnrolment3212RegistrationDataByYearBean.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.ui.struts.action.administrativeOffice.studentEnrolment.RegistrationDataByYearBean_R1.json,fenixedu-academic_org.fenixedu.academic.ui.struts.action.administrativeOffice.studentEnrolment.RegistrationDataByYearBean_R2.json,fenixedu-academic_org.fenixedu.academic.ui.struts.action.administrativeOffice.studentEnrolment.RegistrationDataByYearBean_R3.json,0,train
org.fenixedu.academic.dto.department.CourseStatisticsDTO,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.dto.department1919CourseStatisticsDTO.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.dto.department.CourseStatisticsDTO_R1.json,fenixedu-academic_org.fenixedu.academic.dto.department.CourseStatisticsDTO_R2.json,fenixedu-academic_org.fenixedu.academic.dto.department.CourseStatisticsDTO_R3.json,0,train
com.pushtorefresh.storio3.contentresolver.operations.delete.Builder,"pushtorefresh_bamboo-storage_pushtorefresh_bamboo-storage_com.pushtorefresh.storio3.contentresolver.operations.delete168Builder.code
",bamboo-storage,bamboo-storage_com.pushtorefresh.storio3.contentresolver.operations.delete.Builder_R1.json,bamboo-storage_com.pushtorefresh.storio3.contentresolver.operations.delete.Builder_R2.json,bamboo-storage_com.pushtorefresh.storio3.contentresolver.operations.delete.Builder_R3.json,0,train
org.obeonetwork.dsl.uml2.design.tests.common.Notifications,"ObeoNetwork_UML-Designer_ObeoNetwork_UML-Designer_org.obeonetwork.dsl.uml2.design.tests.common3Notifications.code
",UML-Designer,UML-Designer_org.obeonetwork.dsl.uml2.design.tests.common.Notifications_R1.json,UML-Designer_org.obeonetwork.dsl.uml2.design.tests.common.Notifications_R2.json,UML-Designer_org.obeonetwork.dsl.uml2.design.tests.common.Notifications_R3.json,1,train
org.waveprotocol.wave.client.editor.EditorUndoManagerImpl,"apache_incubator-wave_apache_incubator-wave_org.waveprotocol.wave.client.editor943EditorUndoManagerImpl.code
",incubator-wave,incubator-wave_org.waveprotocol.wave.client.editor.EditorUndoManagerImpl_R1.json,incubator-wave_org.waveprotocol.wave.client.editor.EditorUndoManagerImpl_R2.json,incubator-wave_org.waveprotocol.wave.client.editor.EditorUndoManagerImpl_R3.json,0,train
org.fenixedu.academic.dto.accounting.AccountingTransactionDetailDTO,"FenixEdu_fenixedu-academic_FenixEdu_fenixedu-academic_org.fenixedu.academic.dto.accounting1798AccountingTransactionDetailDTO.code
",fenixedu-academic,fenixedu-academic_org.fenixedu.academic.dto.accounting.AccountingTransactionDetailDTO_R1.json,fenixedu-academic_org.fenixedu.academic.dto.accounting.AccountingTransactionDetailDTO_R2.json,fenixedu-academic_org.fenixedu.academic.dto.accounting.AccountingTransactionDetailDTO_R3.json,0,train
com.google.common.util.concurrent.CycleDetectingLockFactory,"google_guava_google_guava_com.google.common.util.concurrent3008CycleDetectingLockFactory.code
",guava,guava_com.google.common.util.concurrent.CycleDetectingLockFactory_R1.json,guava_com.google.common.util.concurrent.CycleDetectingLockFactory_R2.json,guava_com.google.common.util.concurrent.CycleDetectingLockFactory_R3.json,0,train
org.numenta.nupic.encoders.DeltaEncoder,"numenta_htm.java_numenta_htm.java_org.numenta.nupic.encoders66DeltaEncoder.code
",htm.java,htm.java_org.numenta.nupic.encoders.DeltaEncoder_R1.json,htm.java_org.numenta.nupic.encoders.DeltaEncoder_R2.json,htm.java_org.numenta.nupic.encoders.DeltaEncoder_R3.json,0,train
net.glowstone.generator.objects.trees.TallRedwoodTree,"GlowstoneMC_Glowstone_GlowstoneMC_Glowstone_net.glowstone.generator.objects.trees718TallRedwoodTree.code
",Glowstone,Glowstone_net.glowstone.generator.objects.trees.TallRedwoodTree_R1.json,Glowstone_net.glowstone.generator.objects.trees.TallRedwoodTree_R2.json,Glowstone_net.glowstone.generator.objects.trees.TallRedwoodTree_R3.json,0,train
